Company Name	Ticker	Exchange	GICS Sector	GICS Industry Group	GICS Industry	GICS Sub-Industry
PayPal Holdings Inc	PYPL	Nasdaq	Information Technology	Software and Services	IT Services	Data Processing and Outsourced Services
Peloton Interactive Inc	PTON	Nasdaq	Consumer Discretionary	Consumer Durables & Apparel	Leisure Equipment & Products	Leisure Products
PepsiCo Inc	PEP	Nasdaq	Consumer Staples	Food, Beverage and Tobacco	Beverages	Soft Drinks
Price (T. ROWE) Group	TROW	Nasdaq	Financials	Diversified Financials	Capital Markets	Asset Management & Custody Banks
QUALCOMM Inc	QCOM	Nasdaq	Information Technology	Semiconductors & Semiconductor Equipment	Semiconductors & Semiconductor Equipment	Semiconductors
RBC Bearings Inc	ROLL	Nasdaq	Industrials	Capital Goods	Machinery	Industrial Machinery
Regeneron Pharmaceuticals Inc	REGN	Nasdaq	Health Care	Pharmaceuticals and Biotechnology	Biotechnology	Biotechnology
Royal Gold Inc	RGLD	Nasdaq	Materials	Materials	Metals and Mining	Gold
SEI Investments Co	SEIC	Nasdaq	Financials	Diversified Financials	Capital Markets	Asset Management and Custody Banks
Sirius XM Holdings Inc	SIRI	Nasdaq	Communication Services	Media & Entertainment	Media	Cable & Satellite
SkyWest Inc	SKYW	Nasdaq	Industrials	Transportation	Airlines	Airlines
Smith & Wesson Brands Inc	SWBI	Nasdaq	Consumer Discretionary	Consumer Durables and Apparel	Leisure Products	Leisure Products
Sohu.com Ltd	SOHU	Nasdaq	Communication Services	Media & Entertainment	Interactive Media & Services	Interactive Media & Services
Solar Edge	SEDG	Nasdaq	Information Technology	Semiconductors & Semiconductor Equipment	Semiconductor Equipment	Computer Hardware
Sprouts Farmers Market Inc	SFM	Nasdaq	Consumer Staples	Food and Staples Retailing	Food and Staples Retailing	Food Retail
Starbucks Corp	SBUX	Nasdaq	Consumer Discretionary	Consumer Services	Hotels, Restaurants and Leisure	Restaurants
Stitch Fix Inc	SFIX	Nasdaq	Consumer Discretionary	Retailing	Internet & Direct Marketing Retail	Internet & Direct Marketing Retail
Tesla Inc	TSLA	Nasdaq	Consumer Discretionary	Automobiles and Components	Automobiles	Automobile Manufacturers
Texas Instruments Inc	TXN	Nasdaq	Information Technology	Semiconductors & Semiconductor Equipment	Semiconductors & Semiconductor Equipment	Semiconductors
Texas Roadhouse Inc	TXRH	Nasdaq	Consumer Discretionary	Consumer Services	Hotels, Restaurants and Leisure	Restaurants
The Middleby Corp	MIDD	Nasdaq	Industrials	Capital Goods	Machinery	Industrial Machinery
The Wendy's Co	WEN	Nasdaq	Consumer Discretionary	Consumer Services	Hotels, Restaurants and Leisure	Restaurants
The York Water Co	YORW	Nasdaq	Utilities	Utilities	Water Utilities	Water Utilities
The9 Ltd	NCTY	Nasdaq	Communication Services	Media & Entertainment	Entertainment	Interactive Home Entertainment
Ulta Beauty Inc	ULTA	Nasdaq	Consumer Discretionary	Retailing	Specialty Retail	Specialty Stores
United States Lime & Minderals Inc.	USLM	Nasdaq	Materials	Materials	Construction Materials	Construction Materials
Urban Outfitters Inc	URBN	Nasdaq	Consumer Discretionary	Retailing	Specialty Retail	Apparel Retail
UTStarcom Holdings Corp	UTSI	Nasdaq	Information Technology	Technology Hardware and Equipment	Communications Equipment	Communications Equipment
VEON Ltd	VEON	Nasdaq	Communication Services	Telecommunication Services	Wireless Telecommunication Services	Wireless Telecommunication Services
Vera Bradley Inc	VRA	Nasdaq	Consumer Discretionary	Consumer Durables and Apparel	Textiles, Apparel and Luxury Goods	Apparel, Accessories and Luxury Goods
Verisk Analytics Inc	VRSK	Nasdaq	Industrials	Commercial Services and Supplies	Professional Services	Research and Consulting Services
Vyant Bio Inc	VYNT	Nasdaq	Health Care	Pharmaceuticals, Biotechnology & Life Sciences	Biotechnology	Biotechnology
Walgreens Boots Alliance Inc	WBA	Nasdaq	Consumer Staples	Food & Staples Retailing	Food & Staples Retailing	Drug Retail
WD-40 Co	WDFC	Nasdaq	Consumer Staples	Household and Personal Products	Household Products	Household Products
Abbott Laboratories	ABT	New York Stock Exchange, Inc.	Health Care	Health Care Equipment & Services	Health Care Equipment & Supplies	Health Care Equipment
AbbVie Inc	ABBV	New York Stock Exchange, Inc.	Health Care	Pharmaceuticals and Biotechnology	Biotechnology	Biotechnology
Abercrombie & Fitch Co	ANF	New York Stock Exchange, Inc.	Consumer Discretionary	Retailing	Specialty Retail	Apparel Retail
Aflac Inc	AFL	New York Stock Exchange, Inc.	Financials	Insurance	Insurance	Life and Health Insurance
Air Products & Chemicals Inc	APD	New York Stock Exchange, Inc.	Materials	Materials	Chemicals	Industrial Gases
Alibaba Group Holding Ltd	BABA	New York Stock Exchange, Inc.	Consumer Discretionary	Retailing	Internet & Direct Marketing Retail	Internet & Direct Marketing Retail
Allstate Corp	ALL	New York Stock Exchange, Inc.	Financials	Insurance	Insurance	Property and Casualty Insurance
AMC Entertainment Holdings	AMC	New York Stock Exchange, Inc.	Communication Services	Media & Entertainment	Entertainment	Movies & Entertainment
American Eagle Outfitters Inc	AEO	New York Stock Exchange, Inc.	Consumer Discretionary	Retailing	Specialty Retail	Apparel Retail
American Express Co	AXP	New York Stock Exchange, Inc.	Financials	Diversified Financials	Consumer Finance	Consumer Finance
American Water Works Co Inc	AWK	New York Stock Exchange, Inc.	Utilities	Utilities	Water Utilities	Water Utilities
AMN Healthcare Services Inc	AMN	New York Stock Exchange, Inc.	Health Care	Health Care Equipment and Services	Health Care Providers and Services	Health Care Services
Aptiv PLC	APTV	New York Stock Exchange, Inc.	Consumer Discretionary	Automobiles and Components	Auto Components	Auto Parts and Equipment
Arista Networks Inc	ANET	New York Stock Exchange, Inc.	Information Technology	Technology Hardware and Equipment	Communications Equipment	Communications Equipment
Artisan Partners Asset Management Inc	APAM	New York Stock Exchange, Inc.	Financials	Diversified Financials	Capital Markets	Asset Management and Custody Banks
ASGN Inc	ASGN	New York Stock Exchange, Inc.	Industrials	Commercial Services and Supplies	Professional Services	Human Resource and Employment Services
Ashland Global Holdings Inc	ASH	New York Stock Exchange, Inc.	Materials	Materials	Chemicals	Specialty Chemicals
AT&T Inc	T	New York Stock Exchange, Inc.	Communication Services	Telecommunication Services	Diversified Telecommunication Services	Integrated Telecommunication Services
Autozone Inc	AZO	New York Stock Exchange, Inc.	Consumer Discretionary	Retailing	Specialty Retail	Automotive Retail
Bank of America Corp	BAC	New York Stock Exchange, Inc.	Financials	Banks	Commercial Banks	Diversified Banks
Barclays PLC	BCS	New York Stock Exchange, Inc.	Financials	Banks	Banks	Diversified Banks
Barnes & Noble Education Inc	BNED	New York Stock Exchange, Inc.	Consumer Discretionary	Retailing	Specialty Retail	Specialty Stores
Baxter International Inc	BAX	New York Stock Exchange, Inc.	Health Care	Health Care Equipment and Services	Health Care Equipment and Supplies	Health Care Equipment
Best Buy Co Inc	BBY	New York Stock Exchange, Inc.	Consumer Discretionary	Retailing	Specialty Retail	Computer and Electronics Retail
Bill.com Holdings Inc	BILL	New York Stock Exchange, Inc.	Information Technology	Software & Services	Software	Application Software
Blackrock Inc	BLK	New York Stock Exchange, Inc.	Financials	Diversified Financials	Capital Markets	Asset Management & Custody Banks
Blackstone Inc	BX	New York Stock Exchange, Inc.	Financials	Diversified Financials	Capital Markets	Asset Management and Custody Banks
Boeing Co	BA	New York Stock Exchange, Inc.	Industrials	Capital Goods	Aerospace and Defense	Aerospace and Defense
BorgWarner Inc	BWA	New York Stock Exchange, Inc.	Consumer Discretionary	Automobiles and Components	Auto Components	Auto Parts and Equipment
BP PLC	BP	New York Stock Exchange, Inc.	Energy	Energy	Oil, Gas and Consumable Fuels	Integrated Oil and Gas
Bristol-Myers Squibb Co	BMY	New York Stock Exchange, Inc.	Health Care	Pharmaceuticals and Biotechnology	Pharmaceuticals	Pharmaceuticals
Brookfield Asset Management	BAM	New York Stock Exchange, Inc.	Financials	Diversified Financials	Capital Markets	Asset Management & Custody Banks
Build-A-Bear Workshop Inc	BBW	New York Stock Exchange, Inc.	Consumer Discretionary	Retailing	Specialty Retail	Specialty Stores
Burlington Stores Inc	BURL	New York Stock Exchange, Inc.	Consumer Discretionary	Retailing	Specialty Retail	Apparel Retail
Cameco Corp	CCJ	New York Stock Exchange, Inc.	Energy	Energy	Oil, Gas and Consumable Fuels	Coal and Consumable Fuels
Campbell Soup Co	CPB	New York Stock Exchange, Inc.	Consumer Staples	Food, Beverage and Tobacco	Food Products	Packaged Foods and Meats
Canadian National Railway Co	CNI	New York Stock Exchange, Inc.	Industrials	Transportation	Road & Rails	Railroads
Canadian Pacific Railway Ltd	CP	New York Stock Exchange, Inc.	Industrials	Transportation	Road & Rails	Railroads
CarMax Inc	KMX	New York Stock Exchange, Inc.	Consumer Discretionary	Retailing	Specialty Retail	Automotive Retail
Caterpillar Inc	CAT	New York Stock Exchange, Inc.	Industrials	Capital Goods	Machinery	Construction & Farm Machinery & Heavy Trucks
Centene Corp	CNC	New York Stock Exchange, Inc.	Health Care	Health Care Equipment and Services	Health Care Providers and Services	Managed Health Care
Chevron Corp	CVX	New York Stock Exchange, Inc.	Energy	Energy	Oil, Gas and Consumable Fuels	Integrated Oil and Gas
China Yuchai International Ltd	CYD	New York Stock Exchange, Inc.	Industrials	Capital Goods	Machinery	Construction Machinery and Heavy Trucks
Chipotle Mexican Grill Inc	CMG	New York Stock Exchange, Inc.	Consumer Discretionary	Consumer Services	Hotels, Restaurants and Leisure	Restaurants
Citigroup Inc	C	New York Stock Exchange, Inc.	Financials	Banks	Banks	Diversified Banks
Clearwater Paper Corp	CLW	New York Stock Exchange, Inc.	Materials	Materials	Paper and Forest Products	Paper Products
Coca-Cola Co	KO	New York Stock Exchange, Inc.	Consumer Staples	Food, Beverage and Tobacco	Beverages	Soft Drinks
Colgate-Palmolive Co	CL	New York Stock Exchange, Inc.	Consumer Staples	Household and Personal Products	Household Products	Household Products
Corteva Inc	CTVA	New York Stock Exchange, Inc.	Materials	Materials	Chemicals	Fertilizers and Agricultural Chemicals
CVS Health Corp	CVS	New York Stock Exchange, Inc.	Health Care	Health Care Equipment and Services	Health Care Providers and Services	Health Care Services
Deere & Co	DE	New York Stock Exchange, Inc.	Industrials	Capital Goods	Machinery	Agricultural & Farm Machinery
Delta Air Lines Inc	DAL	New York Stock Exchange, Inc.	Industrials	Transportation	Airlines	Airlines
Deutsche Bank AG	DB	New York Stock Exchange, Inc.	Financials	Diversified Financials	Capital Markets	Diversified Capital Markets
Diageo PLC	DEO	New York Stock Exchange, Inc.	Consumer Staples	Food, Beverage & Tobacco	Beverages	Distillers & Vintners
Digital Realty Trust Inc	DLR	New York Stock Exchange, Inc.	Real Estate	Real Estate	Equity Real Estate Investment Trusts (REITs)	Specialized REITs
Discover Financial Services	DFS	New York Stock Exchange, Inc.	Financials	Diversified Financials	Consumer Finance	Consumer Finance
Dollar General Corp	DG	New York Stock Exchange, Inc.	Consumer Discretionary	Retailing	Multiline Retail	General Merchandise Stores
Dominion Energy Inc	D	New York Stock Exchange, Inc.	Utilities	Utilities	Multi-Utilities	Multi-Utilities
Douglas Dynamics Inc	PLOW	New York Stock Exchange, Inc.	Industrials	Capital Goods	Machinery	Construction Machinery and Heavy Trucks
DXC Technology Co	DXC	New York Stock Exchange, Inc.	Information Technology	Software and Services	IT Services	IT Consulting and Other Services
Eastman Chemical Co	EMN	New York Stock Exchange, Inc.	Materials	Materials	Chemicals	Diversified Chemicals
Enbridge Inc	ENB	New York Stock Exchange, Inc.	Energy	Energy	Oil, Gas & Consumable Fuels	Oil & Gas Storage & Transportation
Endeavor Group Holdings	EDR	New York Stock Exchange, Inc.	Communication Services	Media & Entertainment	Entertainment	Movies & Entertainment
Energy Transfer LP	ET	New York Stock Exchange, Inc.	Energy	Energy	Oil, Gas and Consumable Fuels	Oil and Gas Storage and Transportation
Extra Space Storage Inc	EXR	New York Stock Exchange, Inc.	Real Estate	Real Estate	Equity Real Estate Investment Trusts (REITs)	Specialized REITs
Exxon Mobil Corp	XOM	New York Stock Exchange, Inc.	Energy	Energy	Oil, Gas and Consumable Fuels	Integrated Oil and Gas
Fair Isaac Corp	FICO	New York Stock Exchange, Inc.	Information Technology	Software and Services	Software	Application Software
FirstEnergy Corp	FE	New York Stock Exchange, Inc.	Utilities	Utilities	Electric Utilities	Electric Utilities
FMC Corp	FMC	New York Stock Exchange, Inc.	Materials	Materials	Chemicals	Fertilizers and Agricultural Chemicals
Foot Locker Inc	FL	New York Stock Exchange, Inc.	Consumer Discretionary	Retailing	Specialty Retail	Apparel Retail
Ford Motor Co	F	New York Stock Exchange, Inc.	Consumer Discretionary	Automobiles and Components	Automobiles	Automobile Manufacturers
Fortis Inc	FTS	New York Stock Exchange, Inc.	Utilities	Utilities	Electric Utilities	Electric Utilities
Franklin Resources Inc	BEN	New York Stock Exchange, Inc.	Financials	Diversified Financials	Capital Markets	Asset Management & Custody Banks
Freeport-McMoRan Inc	FCX	New York Stock Exchange, Inc.	Materials	Materials	Metals and Mining	Copper
FTI Consulting Inc	FCN	New York Stock Exchange, Inc.	Industrials	Commercial Services and Supplies	Professional Services	Research and Consulting Services
Gap Inc	GPS	New York Stock Exchange, Inc.	Consumer Discretionary	Retailing	Specialty Retail	Apparel Retail
Garmin Ltd	GRMN	New York Stock Exchange, Inc.	Consumer Discretionary	Consumer Durables & Apparel	Household Durables	Consumer Electronics
General Dynamics Corp	GD	New York Stock Exchange, Inc.	Industrials	Capital Goods	Aerospace & Defense	Aerospace & Defense
General Electric Co	GE	New York Stock Exchange, Inc.	Industrials	Capital Goods	Industrial Conglomerates	Industrial Conglomerates
General Mills Inc	GIS	New York Stock Exchange, Inc.	Consumer Staples	Food, Beverage and Tobacco	Food Products	Packaged Foods and Meats
General Motors Co	GM	New York Stock Exchange, Inc.	Consumer Discretionary	Automobiles and Components	Automobiles	Automobile Manufacturers
GlaxoSmithKline PLC	GSK	New York Stock Exchange, Inc.	Health Care	Pharmaceuticals and Biotechnology	Pharmaceuticals	Pharmaceuticals
Globus Medical Inc	GMED	New York Stock Exchange, Inc.	Health Care	Health Care Equipment and Services	Health Care Equipment and Supplies	Health Care Equipment
Goldman Sachs Group Inc	GS	New York Stock Exchange, Inc.	Financials	Diversified Financials	Capital Markets	Investment Banking & Brokerage
H&R Block Inc	HRB	New York Stock Exchange, Inc.	Consumer Discretionary	Consumer Services	Diversified Consumer Services	Specialized Consumer Services
Harley-Davidson Inc	HOG	New York Stock Exchange, Inc.	Consumer Discretionary	Automobiles and Components	Automobiles	Motorcycle Manufacturers
Hess Corp	HES	New York Stock Exchange, Inc.	Energy	Energy	Oil, Gas and Consumable Fuels	Oil and Gas Exploration and Production
Home Depot Inc	HD	New York Stock Exchange, Inc.	Consumer Discretionary	Retailing	Specialty Retail	Home Improvement Retail
Honda Motor Co Ltd	HMC	New York Stock Exchange, Inc.	Consumer Discretionary	Automobiles and Components	Automobiles	Automobile Manufacturers
Hyatt Hotels Corp	H	New York Stock Exchange, Inc.	Consumer Discretionary	Consumer Services	Hotels, Restaurants and Leisure	Hotels, Resorts and Cruise Lines
Imax Corp	IMAX	New York Stock Exchange, Inc.	Communication Services	Media & Entertainment	Entertainment	Movies & Entertainment
Intercontinental Exchange Inc	ICE	New York Stock Exchange, Inc.	Financials	Diversified Financials	Capital Markets	Financial Exchanges & Data
IQVIA Holdings Inc	IQV	New York Stock Exchange, Inc.	Health Care	Pharmaceuticals, Biotechnology & Life Sciences	Life Sciences Tools & Services	Life Sciences Tools & Services
Iron Mountain Inc	IRM	New York Stock Exchange, Inc.	Real Estate	Real Estate	Equity Real Estate Investment Trusts (REITs)	Specialized REITs
Johnson & Johnson	JNJ	New York Stock Exchange, Inc.	Health Care	Pharmaceuticals and Biotechnology	Pharmaceuticals	Pharmaceuticals
JPMorgan Chase & Co	JPM	New York Stock Exchange, Inc.	Financials	Banks	Banks	Diversified Banks
Kellogg Co	K	New York Stock Exchange, Inc.	Consumer Staples	Food, Beverage and Tobacco	Food Products	Packaged Foods and Meats
KeyCorp	KEY	New York Stock Exchange, Inc.	Financials	Banks	Banks	Regional Banks
Kinder Morgan Inc	KMI	New York Stock Exchange, Inc.	Energy	Energy	Oil, Gas & Consumable Fuels	Oil & Gas Storage & Transportation
KKR & Co Inc	KKR	New York Stock Exchange, Inc.	Financials	Diversified Financials	Capital Markets	Asset Management and Custody Banks
Las Vegas Sands Corp	LVS	New York Stock Exchange, Inc.	Consumer Discretionary	Consumer Services	Hotels, Restaurants and Leisure	Casinos and Gaming
Lazard Ltd	LAZ	New York Stock Exchange, Inc.	Financials	Diversified Financials	Capital Markets	Investment Banking and Brokerage
LCI Industries Inc	LCII	New York Stock Exchange, Inc.	Consumer Discretionary	Automobiles and Components	Auto Components	Auto Parts and Equipment
Lockheed Martin Corp	LMT	New York Stock Exchange, Inc.	Industrials	Capital Goods	Aerospace and Defense	Aerospace and Defense
Loews Corp	L	New York Stock Exchange, Inc.	Financials	Insurance	Insurance	Property and Casualty Insurance
Lowe's Companies Inc	LOW	New York Stock Exchange, Inc.	Consumer Discretionary	Retailing	Specialty Retail	Home Improvement Retail
M&T Bank Corp	MTB	New York Stock Exchange, Inc.	Financials	Banks	Banks	Regional Banks
Macy's Inc	M	New York Stock Exchange, Inc.	Consumer Discretionary	Retailing	Multiline Retail	Department Stores
Mastercard Inc	MA	New York Stock Exchange, Inc.	Information Technology	Software and Services	IT Services	Data Processing and Outsourced Services
McCormick & Co Inc	MKC	New York Stock Exchange, Inc.	Consumer Staples	Food, Beverage and Tobacco	Food Products	Packaged Foods and Meats
McDonald's Corp	MCD	New York Stock Exchange, Inc.	Consumer Discretionary	Consumer Services	Hotels, Restaurants and Leisure	Restaurants
McKesson Corp	MCK	New York Stock Exchange, Inc.	Health Care	Health Care Equipment and Services	Health Care Providers and Services	Health Care Distributors
Merck & Co Inc	MRK	New York Stock Exchange, Inc.	Health Care	Pharmaceuticals and Biotechnology	Pharmaceuticals	Pharmaceuticals
MetLife Inc	MET	New York Stock Exchange, Inc.	Financials	Insurance	Insurance	Life and Health Insurance
Molson Coors Beverage Co	TAP	New York Stock Exchange, Inc.	Consumer Staples	Food, Beverage and Tobacco	Beverages	Brewers
Moody's Corporation	MCO	New York Stock Exchange, Inc.	Financials	Diversified Financials	Capital Markets	Financial Exchanges & Data
Morgan Stanley	MS	New York Stock Exchange, Inc.	Financials	Diversified Financials	Capital Markets	Investment Banking & Brokerage
Movado Group Inc	MOV	New York Stock Exchange, Inc.	Consumer Discretionary	Consumer Durables and Apparel	Textiles, Apparel and Luxury Goods	Apparel, Accessories and Luxury Goods
National Fuel Gas Co	NFG	New York Stock Exchange, Inc.	Utilities	Utilities	Gas Utilities	Gas Utilities
Natural Gas Services Group Inc	NGS	New York Stock Exchange, Inc.	Energy	Energy	Energy Equipment and Services	Oil and Gas Equipment and Services
New Oriental Education & Technology Group Inc	EDU	New York Stock Exchange, Inc.	Consumer Discretionary	Consumer Services	Diversified Consumer Services	Education Services
Nike Inc	NKE	New York Stock Exchange, Inc.	Consumer Discretionary	Consumer Durables and Apparel	Textiles, Apparel and Luxury Goods	Footwear
Northrop Grumman Corp	NOC	New York Stock Exchange, Inc.	Industrials	Capital Goods	Aerospace & Defense	Aerospace & Defense
Norwegian Cruise Line Holdings Ltd	NCLH	New York Stock Exchange, Inc.	Consumer Discretionary	Consumer Services	Hotels, Restaurants and Leisure	Hotels, Resorts and Cruise Lines
NOV Inc	NOV	New York Stock Exchange, Inc.	Energy	Energy	Energy Equipment & Services	Oil & Gas Equipment & Services
Novartis AG	NVS	New York Stock Exchange, Inc.	Health Care	Pharmaceuticals and Biotechnology	Pharmaceuticals	Pharmaceuticals
Nutrien Ltd	NTR	New York Stock Exchange, Inc.	Materials	Materials	Chemicals	Fertilizers & Agricultural Chemicals
ONEOK Inc	OKE	New York Stock Exchange, Inc.	Energy	Energy	Oil, Gas and Consumable Fuels	Oil and Gas Storage and Transportation
Oppenheimer Holdings Inc	OPY	New York Stock Exchange, Inc.	Financials	Diversified Financials	Capital Markets	Investment Banking and Brokerage
Oracle Corp	ORCL	New York Stock Exchange, Inc.	Information Technology	Software and Services	Software	Systems Software
Pfizer Inc	PFE	New York Stock Exchange, Inc.	Health Care	Pharmaceuticals and Biotechnology	Pharmaceuticals	Pharmaceuticals
PG&E Corp	PCG	New York Stock Exchange, Inc.	Utilities	Utilities	Electric Utilities	Electric Utilities
Phillips 66	PSX	New York Stock Exchange, Inc.	Energy	Energy	Oil, Gas and Consumable Fuels	Oil and Gas Refining and Marketing
Physicians Realty Trust	DOC	New York Stock Exchange, Inc.	Real Estate	Real Estate	Equity Real Estate Investment Trusts (REITs)	Health Care REITs
Planet Fitness Inc	PLNT	New York Stock Exchange, Inc.	Consumer Discretionary	Consumer Services	Hotels, Restaurants and Leisure	Leisure Facilities
PNC Financial Services Group Inc	PNC	New York Stock Exchange, Inc.	Financials	Banks	Banks	Regional Banks
POSCO	PKX	New York Stock Exchange, Inc.	Materials	Materials	Metals and Mining	Steel
Prestige Consumer Healthcare Inc	PBH	New York Stock Exchange, Inc.	Health Care	Pharmaceuticals and Biotechnology	Pharmaceuticals	Pharmaceuticals
Procter & Gamble Co	PG	New York Stock Exchange, Inc.	Consumer Staples	Household and Personal Products	Household Products	Household Products
Prudential Financial Inc	PRU	New York Stock Exchange, Inc.	Financials	Insurance	Insurance	Life and Health Insurance
Public Storage	PSA	New York Stock Exchange, Inc.	Real Estate	Real Estate	Equity Real Estate Investment Trusts (REITs)	Specialized REITs
Quaker Chemical Corp	KWR	New York Stock Exchange, Inc.	Materials	Materials	Chemicals	Specialty Chemicals
Raytheon Technologies Corp	RTX	New York Stock Exchange, Inc.	Industrials	Capital Goods	Aerospace & Defense	Aerospace & Defense
Regions Financial Corp	RF	New York Stock Exchange, Inc.	Financials	Banks	Banks	Regional Banks
Ritchie Bros Auctioneers Inc	RBA	New York Stock Exchange, Inc.	Industrials	Commercial Services and Supplies	Commercial Services and Supplies	Diversified Support Services
Rite Aid Corp	RAD	New York Stock Exchange, Inc.	Consumer Staples	Food and Staples Retailing	Food and Staples Retailing	Drug Retail
Rogers Communications-CL B	RCI	New York Stock Exchange, Inc.	Communication Services	Telecommunication Services	Wireless Telecommunication Services	Wireless Telecommunication Services
Salesforce Inc	CRM	New York Stock Exchange, Inc.	Information Technology	Software & Services	Software	Application Software
SAP SE	SAP	New York Stock Exchange, Inc.	Information Technology	Software & Services	Software	Application Software
Sempra Energy	SRE	New York Stock Exchange, Inc.	Utilities	Utilities	Multi-Utilities	Multi-Utilities
SJW Group	SJW	New York Stock Exchange, Inc.	Utilities	Utilities	Water Utilities	Water Utilities
Snap-on Inc	SNA	New York Stock Exchange, Inc.	Industrials	Capital Goods	Machinery	Industrial Machinery
Snowflake Inc	SNOW	New York Stock Exchange, Inc.	Information Technology	Software & Services	IT Services	Internet Services & Infrastructure
SONY Group Corporation	SONY	New York Stock Exchange, Inc.	Consumer Discretionary	Consumer Durables & Apparel	Household Durables	Consumer Electronics
Southern Co	SO	New York Stock Exchange, Inc.	Utilities	Utilities	Electric Utilities	Electric Utilities
Southwest Airlines Co	LUV	New York Stock Exchange, Inc.	Industrials	Transportation	Airlines	Airlines
Spirit Airlines Inc	SAVE	New York Stock Exchange, Inc.	Industrials	Transportation	Airlines	Airlines
Spotify Technology SA	SPOT	New York Stock Exchange, Inc.	Communication Services	Media & Entertainment	Entertainment	Movies & Entertainment
Sunoco LP	SUN	New York Stock Exchange, Inc.	Energy	Energy	Oil, Gas and Consumable Fuels	Oil and Gas Refining and Marketing
Sysco Corp	SYY	New York Stock Exchange, Inc.	Consumer Staples	Food and Staples Retailing	Food and Staples Retailing	Food Distributors
Taiwan Semiconductor Manufacturing Co	TSM	New York Stock Exchange, Inc.	Information Technology	Semiconductors & Semiconductor Equipment	Semiconductors & Semiconductor Equipment	Semiconductors
TAL Education Group	TAL	New York Stock Exchange, Inc.	Consumer Discretionary	Consumer Services	Diversified Consumer Services	Education Services
Target Corp	TGT	New York Stock Exchange, Inc.	Consumer Discretionary	Retailing	Multiline Retail	General Merchandise Stores
TC Energy Corp	TRP	New York Stock Exchange, Inc.	Energy	Energy	Oil, Gas & Consumable Fuels	Oil & Gas Storage & Transportation
TELUS Corp	TU	New York Stock Exchange, Inc.	Communication Services	Telecommunication Services	Diversified Telecommunication Services	Integrated Telecommunication Services
Teva Pharmaceutical Industries Ltd	TEVA	New York Stock Exchange, Inc.	Health Care	Pharmaceuticals and Biotechnology	Pharmaceuticals	Pharmaceuticals
The Container Store Group Inc	TCS	New York Stock Exchange, Inc.	Consumer Discretionary	Retailing	Specialty Retail	Specialty Stores
The Estee Lauder Companies Inc	EL	New York Stock Exchange, Inc.	Consumer Staples	Household and Personal Products	Personal Products	Personal Products
The GEO Group Inc	GEO	New York Stock Exchange, Inc.	Real Estate	Real Estate	Equity Real Estate Investment Trusts (REITs)	Specialized REITs
The Hershey Co	HSY	New York Stock Exchange, Inc.	Consumer Staples	Food, Beverage and Tobacco	Food Products	Packaged Foods and Meats
The Walt Disney Co	DIS	New York Stock Exchange, Inc.	Communication Services	Media & Entertainment	Entertainment	Movies & Entertainment
Titan International Inc	TWI	New York Stock Exchange, Inc.	Industrials	Capital Goods	Machinery	Agricultural and Farm Machinery
TJX Companies Inc	TJX	New York Stock Exchange, Inc.	Consumer Discretionary	Retailing	Specialty Retail	Apparel Retail
Tootsie Roll Industries Inc	TR	New York Stock Exchange, Inc.	Consumer Staples	Food, Beverage and Tobacco	Food Products	Packaged Foods and Meats
Toyota Motor Corp	TM	New York Stock Exchange, Inc.	Consumer Discretionary	Automobiles and Components	Automobiles	Automobile Manufacturers
Treehouse Foods Inc	THS	New York Stock Exchange, Inc.	Consumer Staples	Food, Beverage and Tobacco	Food Products	Packaged Foods and Meats
TREX Co Inc	TREX	New York Stock Exchange, Inc.	Industrials	Capital Goods	Building Products	Building Products
Tyson Foods Inc	TSN	New York Stock Exchange, Inc.	Consumer Staples	Food, Beverage and Tobacco	Food Products	Packaged Foods and Meats
Uber Technologies Inc	UBER	New York Stock Exchange, Inc.	Industrials	Transportation	Road and Rail	Trucking
UBS Group AG	UBS	New York Stock Exchange, Inc.	Financials	Diversified Financials	Capital Markets	Diversified Capital Markets
UGI Corp	UGI	New York Stock Exchange, Inc.	Utilities	Utilities	Gas Utilities	Gas Utilities
Under Armour Inc	UAA	New York Stock Exchange, Inc.	Consumer Discretionary	Consumer Durables and Apparel	Textiles, Apparel and Luxury Goods	Apparel, Accessories and Luxury Goods
Unilever PLC	UL	New York Stock Exchange, Inc.	Consumer Staples	Household and Personal Products	Personal Products	Personal Products
United Natural Foods Inc	UNFI	New York Stock Exchange, Inc.	Consumer Staples	Food and Staples Retailing	Food and Staples Retailing	Food Distributors
United States Steel Corp	X	New York Stock Exchange, Inc.	Materials	Materials	Metals and Mining	Steel
UnitedHealth Group Inc	UNH	New York Stock Exchange, Inc.	Health Care	Health Care Equipment and Services	Health Care Providers and Services	Managed Health Care
Veeva Systems Inc	VEEV	New York Stock Exchange, Inc.	Health Care	Health Care Equipment & Services	Health Care Technology	Health Care Technology
Verizon Communications Inc	VZ	New York Stock Exchange, Inc.	Communication Services	Telecommunication Services	Diversified Telecommunication Services	Integrated Telecommunication Services
VF Corp	VFC	New York Stock Exchange, Inc.	Consumer Discretionary	Consumer Durables and Apparel	Textiles, Apparel and Luxury Goods	Apparel, Accessories and Luxury Goods
Visa Inc	V	New York Stock Exchange, Inc.	Information Technology	Software and Services	IT Services	Data Processing and Outsourced Services
Wabash National Corp	WNC	New York Stock Exchange, Inc.	Industrials	Capital Goods	Machinery	Construction Machinery and Heavy Trucks
